geo_code,variable,value
A0A,population,44930.0
A0A,average_age,47.2
A0A,median_income,67000.0
A0B,population,19287.0
A0B,average_age,51.6
A0B,median_income,60400.0
A0C,population,11972.0
A0C,average_age,51.2
A0C,median_income,55200.0
A0E,population,21209.0
A0E,average_age,49.6
A0E,median_income,60000.0
A0G,population,33316.0
A0G,average_age,50.7
A0G,median_income,57600.0
A0H,population,16743.0
A0H,average_age,50.0
A0H,median_income,58800.0
A0J,population,7497.0
A0J,average_age,50.7
A0J,median_income,58400.0
A0K,population,24659.0
A0K,average_age,50.5
A0K,median_income,66500.0
A0L,population,7503.0
A0L,average_age,46.8
A0L,median_income,73000.0
A0M,population,5468.0
A0M,average_age,50.5
A0M,median_income,63200.0
A0N,population,12387.0
A0N,average_age,51.5
A0N,median_income,49200.0
A0P,population,13058.0
A0P,average_age,36.8
A0P,median_income,99000.0
A0R,population,2661.0
A0R,average_age,35.8
A0R,median_income,155000.0
A1A,population,30086.0
A1A,average_age,44.4
A1A,median_income,88000.0
A1B,population,20906.0
A1B,average_age,39.0
A1B,median_income,70000.0
A1C,population,12713.0
A1C,average_age,42.1
A1C,median_income,59200.0
A1E,population,26858.0
A1E,average_age,45.6
A1E,median_income,66000.0
A1G,population,5808.0
A1G,average_age,43.0
A1G,median_income,79000.0
A1H,population,6469.0
A1H,average_age,36.6
A1H,median_income,132000.0
A1K,population,12348.0
A1K,average_age,40.8
A1K,median_income,111000.0
A1L,population,22959.0
A1L,average_age,37.3
A1L,median_income,111000.0
A1M,population,8405.0
A1M,average_age,40.7
A1M,median_income,114000.0
A1N,population,22478.0
A1N,average_age,44.5
A1N,median_income,81000.0
A1S,population,6103.0
A1S,average_age,43.3
A1S,median_income,89000.0
A1V,population,11890.0
A1V,average_age,43.7
A1V,median_income,80000.0
A1W,population,11179.0
A1W,average_age,42.3
A1W,median_income,100000.0
A1X,population,15945.0
A1X,average_age,41.5
A1X,median_income,90000.0
A1Y,population,5436.0
A1Y,average_age,47.9
A1Y,median_income,58000.0
A2A,population,9277.0
A2A,average_age,45.3
A2A,median_income,71000.0
A2B,population,4739.0
A2B,average_age,47.3
A2B,median_income,56000.0
A2H,population,25290.0
A2H,average_age,46.2
A2H,median_income,68000.0
A2N,population,8613.0
A2N,average_age,47.4
A2N,median_income,54800.0
A2V,population,7447.0
A2V,average_age,37.9
A2V,median_income,147000.0
A5A,population,8436.0
A5A,average_age,44.7
A5A,median_income,70000.0
A8A,population,6475.0
A8A,average_age,48.0
A8A,median_income,62000.0
B0C,population,2748.0
B0C,average_age,47.5
B0C,median_income,68000.0
B0E,population,25919.0
B0E,average_age,48.6
B0E,median_income,62800.0
B0H,population,9796.0
B0H,average_age,48.0
B0H,median_income,63200.0
B0J,population,41032.0
B0J,average_age,48.9
B0J,median_income,68500.0
B0K,population,35141.0
B0K,average_age,47.7
B0K,median_income,63600.0
B0L,population,2335.0
B0L,average_age,48.9
B0L,median_income,57600.0
B0M,population,17448.0
B0M,average_age,47.3
B0M,median_income,59200.0
B0N,population,40484.0
B0N,average_age,44.9
B0N,median_income,70500.0
B0P,population,41544.0
B0P,average_age,44.9
B0P,median_income,71000.0
B0R,population,6090.0
B0R,average_age,50.2
B0R,median_income,60800.0
B0S,population,17873.0
B0S,average_age,49.6
B0S,median_income,54400.0
B0T,population,14729.0
B0T,average_age,49.5
B0T,median_income,56800.0
B0V,population,5658.0
B0V,average_age,48.8
B0V,median_income,51600.0
B0W,population,25890.0
B0W,average_age,48.2
B0W,median_income,64500.0
B1A,population,14988.0
B1A,average_age,46.5
B1A,median_income,57200.0
B1B,population,1237.0
B1B,average_age,49.5
B1B,median_income,66000.0
B1C,population,1698.0
B1C,average_age,49.9
B1C,median_income,73500.0
B1E,population,1533.0
B1E,average_age,46.1
B1E,median_income,63200.0
B1G,population,1796.0
B1G,average_age,48.6
B1G,median_income,57600.0
B1H,population,9146.0
B1H,average_age,47.9
B1H,median_income,56800.0
B1J,population,1148.0
B1J,average_age,54.3
B1J,median_income,72000.0
B1K,population,3336.0
B1K,average_age,49.3
B1K,median_income,77500.0
B1L,population,4952.0
B1L,average_age,45.7
B1L,median_income,86000.0
B1M,population,1271.0
B1M,average_age,46.0
B1M,median_income,88000.0
B1N,population,5605.0
B1N,average_age,44.1
B1N,median_income,55200.0
B1P,population,14704.0
B1P,average_age,43.9
B1P,median_income,54800.0
B1R,population,4478.0
B1R,average_age,45.7
B1R,median_income,83000.0
B1S,population,8826.0
B1S,average_age,48.2
B1S,median_income,65500.0
B1T,population,400.0
